lines	Plant_height	year	loc
D1644	104.6	2022	Hangzhou
D1644	92.4	2022	Hefei
D1644	83.9	2022	Wuhan
D1644	100	2023	Hangzhou
D1644	118.1	2023	Hefei
D1644	105.3333333	2023	Wuhan
D1651	98.4	2022	Hangzhou
D1651	92.1	2022	Hefei
D1651	97.2	2022	Wuhan
D1651	103.3333333	2023	Hangzhou
D1651	118.4	2023	Hefei
D1651	118	2023	Wuhan
D1216	109.14	2022	Hangzhou
D1216	107.2	2022	Hefei
D1216	92.2	2022	Wuhan
D1216	113.3333333	2023	Hangzhou
D1216	115	2023	Hefei
D1216	103.3333333	2023	Wuhan
D2338	130	2022	Hangzhou
D2338	119.6	2022	Hefei
D2338	125.6	2022	Wuhan
D2338	124	2023	Hangzhou
D2338	132	2023	Hefei
D2338	112.3333333	2023	Wuhan
D1606	86.8	2022	Hangzhou
D1606	77.2	2022	Hefei
D1606	82.875	2022	Wuhan
D1606	95.33333333	2023	Hangzhou
D1606	104.3	2023	Hefei
D1606	97.66666667	2023	Wuhan
D125	93.46	2022	Hangzhou
D125	87.3	2022	Hefei
D125	82.24	2022	Wuhan
D125	79.33333333	2023	Hangzhou
D125	93	2023	Hefei
D125	71.33333333	2023	Wuhan
D674	84.52	2022	Hangzhou
D674	89.6	2022	Hefei
D674	83.82	2022	Wuhan
D674	89.66666667	2023	Hangzhou
D674	94.2	2023	Hefei
D674	72.33333333	2023	Wuhan
D1012	139.32	2022	Hangzhou
D1012	134.8	2022	Hefei
D1012	132.04	2022	Wuhan
D1012	140.6666667	2023	Hangzhou
D1012	93.3	2023	Hefei
D1012	81	2023	Wuhan
D1526	95.06	2022	Hangzhou
D1526	93.2	2022	Hefei
D1526	88.6	2022	Wuhan
D1526	91.33333333	2023	Hangzhou
D1526	101.7	2023	Hefei
D1526	90.5	2023	Wuhan
D2467	119.3	2022	Hangzhou
D2467	114.5	2022	Hefei
D2467	120	2022	Wuhan
D2467	117.6666667	2023	Hangzhou
D2467	124	2023	Hefei
D2467	99	2023	Wuhan
D1258	75.76	2022	Hangzhou
D1258	74.2	2022	Hefei
D1258	70.6	2022	Wuhan
D1258	78.66666667	2023	Hangzhou
D1258	90.6	2023	Hefei
D1258	69.66666667	2023	Wuhan
D1196	100.48	2022	Hangzhou
D1196	102.9	2022	Hefei
D1196	94.8	2022	Wuhan
D1196	109.3333333	2023	Hangzhou
D1196	119.9	2023	Hefei
D1196	104.3333333	2023	Wuhan
D1568	83.88	2022	Hangzhou
D1568	89.8	2022	Hefei
D1568	88.7	2022	Wuhan
D1568	83.33333333	2023	Hangzhou
D1568	91.7	2023	Hefei
D1568	69.1	2023	Wuhan
D1024	86.14	2022	Hangzhou
D1024	80.5	2022	Hefei
D1024	78.62	2022	Wuhan
D1024	87.66666667	2023	Hangzhou
D1024	91.7	2023	Hefei
D1024	69.33333333	2023	Wuhan
D2468	122.4	2022	Hangzhou
D2468	120.8	2022	Hefei
D2468	132.8	2022	Wuhan
D2468	128	2023	Hangzhou
D2468	135.3	2023	Hefei
D2468	126.6666667	2023	Wuhan
D461	95.82	2022	Hangzhou
D461	92.7	2022	Hefei
D461	89.78	2022	Wuhan
D461	99	2023	Hangzhou
D461	94.9	2023	Hefei
D461	84	2023	Wuhan
D2547	122.8	2022	Hangzhou
D2547	118.4	2022	Hefei
D2547	118	2022	Wuhan
D2547	116.3333333	2023	Hangzhou
D2547	126.7	2023	Hefei
D2547	112	2023	Wuhan
D2290	119.4	2022	Hangzhou
D2290	117.2	2022	Hefei
D2290	112.2	2022	Wuhan
D2290	115	2023	Hangzhou
D2290	123.9	2023	Hefei
D2290	107.3333333	2023	Wuhan
D1900	110.06	2022	Hangzhou
D1900	112	2022	Hefei
D1900	103.6	2022	Wuhan
D1900	113.6666667	2023	Hangzhou
D1900	116.6	2023	Hefei
D1900	114.6666667	2023	Wuhan
D2754	108.9	2022	Hangzhou
D2754	100.3	2022	Hefei
D2754	121.1	2022	Wuhan
D2754	105.6666667	2023	Hangzhou
D2754	103	2023	Hefei
D2754	104	2023	Wuhan
D1170	80.04	2022	Hangzhou
D1170	88.1	2022	Hefei
D1170	86.2	2022	Wuhan
D1170	88.33333333	2023	Hangzhou
D1170	97.3	2023	Hefei
D1170	83.33333333	2023	Wuhan
D3391	112.7	2022	Hangzhou
D3391	99.6	2022	Hefei
D3391	102.2	2022	Wuhan
D3391	99.83333333	2023	Hangzhou
D3391	106.5	2023	Hefei
D3391	86.66666667	2023	Wuhan
D1273	98.08	2022	Hangzhou
D1273	101.4	2022	Hefei
D1273	92.68	2022	Wuhan
D1273	99.66666667	2023	Hangzhou
D1273	105.6	2023	Hefei
D1273	88.66666667	2023	Wuhan
D1846	87.8	2022	Hangzhou
D1846	93.9	2022	Hefei
D1846	80.6	2022	Wuhan
D1846	83.66666667	2023	Hangzhou
D1846	87	2023	Hefei
D1846	96.33333333	2023	Wuhan
D2675	151.2	2022	Hangzhou
D2675	123.5	2022	Hefei
D2675	147.7	2022	Wuhan
D2675	161.6666667	2023	Hangzhou
D2675	151.3	2023	Hefei
D2675	155	2023	Wuhan
D918	69.22	2022	Hangzhou
D918	66.3	2022	Hefei
D918	72.12	2022	Wuhan
D918	81.33333333	2023	Hangzhou
D918	77.2	2023	Hefei
D918	76	2023	Wuhan
D1879	107.4	2022	Hangzhou
D1879	114.5	2022	Hefei
D1879	102.4	2022	Wuhan
D1879	107.3333333	2023	Hangzhou
D1879	111.2	2023	Hefei
D1879	111.3333333	2023	Wuhan
D3598	99.4	2022	Hangzhou
D3598	89.3	2022	Hefei
D3598	87.5	2022	Wuhan
D3598	95.66666667	2023	Hangzhou
D3598	93.9	2023	Hefei
D3598	82	2023	Wuhan
D2578	141.5	2022	Hangzhou
D2578	130.7	2022	Hefei
D2578	142	2022	Wuhan
D2578	139.6666667	2023	Hangzhou
D2578	129.4	2023	Hefei
D2578	141.3333333	2023	Wuhan
D589	81.44	2022	Hangzhou
D589	87.1	2022	Hefei
D589	76.72	2022	Wuhan
D589	87	2023	Hangzhou
D589	93.8	2023	Hefei
D589	80.33333333	2023	Wuhan
D3368	121.2	2022	Hangzhou
D3368	114.6	2022	Hefei
D3368	129.1	2022	Wuhan
D3368	117	2023	Hangzhou
D3368	134.3	2023	Hefei
D3368	114	2023	Wuhan
D844	80.1	2022	Hangzhou
D844	77.7	2022	Hefei
D844	74.12	2022	Wuhan
D844	86	2023	Hangzhou
D844	84	2023	Hefei
D844	75.33333333	2023	Wuhan
D2751	115.2	2022	Hangzhou
D2751	111.4	2022	Hefei
D2751	109.5	2022	Wuhan
D2751	115.6666667	2023	Hangzhou
D2751	115.9	2023	Hefei
D2751	104.3333333	2023	Wuhan
D909	88.7	2022	Hangzhou
D909	82.8	2022	Hefei
D909	87.74	2022	Wuhan
D909	89.33333333	2023	Hangzhou
D909	88.7	2023	Hefei
D909	78.66666667	2023	Wuhan
D466	82.64	2022	Hangzhou
D466	93	2022	Hefei
D466	73.86	2022	Wuhan
D466	92	2023	Hangzhou
D466	95.8	2023	Hefei
D466	73	2023	Wuhan
D71	71.08	2022	Hangzhou
D71	68.8	2022	Hefei
D71	73.62	2022	Wuhan
D71	67.66666667	2023	Hangzhou
D71	81.9	2023	Hefei
D71	72	2023	Wuhan
D3288	126	2022	Hangzhou
D3288	116.6	2022	Hefei
D3288	111	2022	Wuhan
D3288	118.6666667	2023	Hangzhou
D3288	127.2	2023	Hefei
D3288	107.8333333	2023	Wuhan
D1292	94.74	2022	Hangzhou
D1292	87.9	2022	Hefei
D1292	99.92	2022	Wuhan
D1292	95.66666667	2023	Hangzhou
D1292	98.6	2023	Hefei
D1292	100.8333333	2023	Wuhan
D267	83	2022	Hangzhou
D267	85.3	2022	Hefei
D267	76.04	2022	Wuhan
D267	90.66666667	2023	Hangzhou
D267	97.3	2023	Hefei
D267	81	2023	Wuhan
D2	80.7	2022	Hangzhou
D2	85.4	2022	Hefei
D2	82.34	2022	Wuhan
D2	90.66666667	2023	Hangzhou
D2	81.2	2023	Hefei
D2	78.5	2023	Wuhan
D1049	77.36	2022	Hangzhou
D1049	69.2	2022	Hefei
D1049	72.6	2022	Wuhan
D1049	78.33333333	2023	Hangzhou
D1049	79	2023	Hefei
D1049	69.33333333	2023	Wuhan
D613	86.88	2022	Hangzhou
D613	92.7	2022	Hefei
D613	75.94	2022	Wuhan
D613	86	2023	Hangzhou
D613	91.6	2023	Hefei
D613	77	2023	Wuhan
D2233	82	2022	Hangzhou
D2233	93.8	2022	Hefei
D2233	81.4	2022	Wuhan
D2233	84	2023	Hangzhou
D2233	101.6	2023	Hefei
D2233	79.33333333	2023	Wuhan
D2962	113.7	2022	Hangzhou
D2962	122.2	2022	Hefei
D2962	124.8	2022	Wuhan
D2962	115.6666667	2023	Hangzhou
D2962	127.9	2023	Hefei
D2962	111.3333333	2023	Wuhan
D2629	120.9	2022	Hangzhou
D2629	128.5	2022	Hefei
D2629	115.4	2022	Wuhan
D2629	124.6666667	2023	Hangzhou
D2629	125.6	2023	Hefei
D2629	111.6666667	2023	Wuhan
D3146	121.4	2022	Hangzhou
D3146	126.1	2022	Hefei
D3146	120.7	2022	Wuhan
D3146	117	2023	Hangzhou
D3146	137.9	2023	Hefei
D3146	119	2023	Wuhan
D2736	120.8	2022	Hangzhou
D2736	104.9	2022	Hefei
D2736	112.1	2022	Wuhan
D2736	115.6666667	2023	Hangzhou
D2736	122.3	2023	Hefei
D2736	107.6666667	2023	Wuhan
D2294	127.4	2022	Hangzhou
D2294	122.6	2022	Hefei
D2294	123.4	2022	Wuhan
D2294	120	2023	Hangzhou
D2294	126.6	2023	Hefei
D2294	108.6666667	2023	Wuhan
D2320	116.8	2022	Hangzhou
D2320	124.2	2022	Hefei
D2320	121.9	2022	Wuhan
D2320	125	2023	Hangzhou
D2320	130.3	2023	Hefei
D2320	119.6666667	2023	Wuhan
D1397	84.4	2022	Hangzhou
D1397	90.8	2022	Hefei
D1397	79	2022	Wuhan
D1397	85	2023	Hangzhou
D1397	100.6	2023	Hefei
D1397	85.33333333	2023	Wuhan
D67	76.36	2022	Hangzhou
D67	67	2022	Hefei
D67	73.16	2022	Wuhan
D67	68	2023	Hangzhou
D67	76.5	2023	Hefei
D67	74.66666667	2023	Wuhan
D2021	137	2022	Hangzhou
D2021	130.1	2022	Hefei
D2021	133.2	2022	Wuhan
D2021	147.6666667	2023	Hangzhou
D2021	147.9	2023	Hefei
D2021	129.3333333	2023	Wuhan
D495	80.44	2022	Hangzhou
D495	87.5	2022	Hefei
D495	84.34	2022	Wuhan
D495	94.33333333	2023	Hangzhou
D495	93.9	2023	Hefei
D495	85	2023	Wuhan
D2677	142.6	2022	Hangzhou
D2677	140.8	2022	Hefei
D2677	140	2022	Wuhan
D2677	148.6666667	2023	Hangzhou
D2677	142.1	2023	Hefei
D2677	140.6666667	2023	Wuhan
D762	66.7	2022	Hangzhou
D762	76.7	2022	Hefei
D762	56.256	2022	Wuhan
D762	82	2023	Hangzhou
D762	79.1	2023	Hefei
D762	70	2023	Wuhan
D3759	116.3	2022	Hangzhou
D3759	110.2	2022	Hefei
D3759	117.6	2022	Wuhan
D3759	118.6666667	2023	Hangzhou
D3759	121	2023	Hefei
D3759	106	2023	Wuhan
D123	88.08	2022	Hangzhou
D123	83.8	2022	Hefei
D123	83.22	2022	Wuhan
D123	75	2023	Hangzhou
D123	85.6	2023	Hefei
D123	76.66666667	2023	Wuhan
D1253	116.96	2022	Hangzhou
D1253	119.3	2022	Hefei
D1253	107.6	2022	Wuhan
D1253	123.6666667	2023	Hangzhou
D1253	125.8	2023	Hefei
D1253	112.3333333	2023	Wuhan
D336	73.64	2022	Hangzhou
D336	81.6	2022	Hefei
D336	63	2022	Wuhan
D336	82.66666667	2023	Hangzhou
D336	88.7	2023	Hefei
D336	65	2023	Wuhan
D1767	81.8	2022	Hangzhou
D1767	75.7	2022	Hefei
D1767	80.3	2022	Wuhan
D1767	86.33333333	2023	Hangzhou
D1767	91.5	2023	Hefei
D1767	92.66666667	2023	Wuhan
D259	98.2	2022	Hangzhou
D259	104.7	2022	Hefei
D259	97.66	2022	Wuhan
D259	116.6666667	2023	Hangzhou
D259	112.8	2023	Hefei
D259	98.66666667	2023	Wuhan
D36	86.24	2022	Hangzhou
D36	91.1	2022	Hefei
D36	90.8	2022	Wuhan
D36	94	2023	Hangzhou
D36	93.9	2023	Hefei
D36	85	2023	Wuhan
D3000	121.6	2022	Hangzhou
D3000	119.1	2022	Hefei
D3000	113.8	2022	Wuhan
D3000	110.6666667	2023	Hangzhou
D3000	117.5	2023	Hefei
D3000	112.3333333	2023	Wuhan
D1470	72	2022	Hangzhou
D1470	77.3	2022	Hefei
D1470	72.1	2022	Wuhan
D1470	82	2023	Hangzhou
D1470	98.8	2023	Hefei
D1470	74.66666667	2023	Wuhan
D2827	124.7	2022	Hangzhou
D2827	119.1	2022	Hefei
D2827	110.4	2022	Wuhan
D2827	117	2023	Hangzhou
